,Type,AgeGroup,PureBreed,Gender,HasPrincipalColors,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,SimpleQuantity,FreeAdoption,State,HasVideo,HasPhoto,DescriptionPartial,Adoption
57,1.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
58,1.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
59,2.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,41401.0,1.0,0.0,1.0,0.0
60,2.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
61,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,41327.0,1.0,0.0,2.0,0.0
62,1.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,0.0
63,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41327.0,1.0,0.0,1.0,1.0
64,1.0,0.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,1.0
65,1.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
66,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41324.0,1.0,0.0,1.0,0.0
67,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,2.0,1.0
68,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
69,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,0.0
70,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,0.0
71,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
72,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
73,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,0.0
74,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,41335.0,1.0,0.0,3.0,1.0
75,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41336.0,1.0,0.0,2.0,1.0
76,1.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,41326.0,0.0,0.0,3.0,0.0
77,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
78,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
79,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
80,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,41327.0,1.0,0.0,2.0,0.0
81,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,41326.0,1.0,0.0,2.0,1.0
82,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,41325.0,1.0,0.0,2.0,1.0
83,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
84,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,1.0,1.0
85,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,1.0,1.0
86,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,0.0
87,1.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
88,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41330.0,0.0,0.0,3.0,1.0
89,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,0.0,0.0,3.0,1.0
90,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41330.0,1.0,0.0,3.0,1.0
91,2.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,0.0
92,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,1.0,2.0,0.0
93,2.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,41324.0,1.0,0.0,3.0,1.0
94,2.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,0.0
95,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41327.0,1.0,0.0,2.0,1.0
96,2.0,3.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,0.0,1.0
97,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
98,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41336.0,1.0,0.0,1.0,1.0
99,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
100,2.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,2.0,1.0
101,1.0,3.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
102,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,0.0
103,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
104,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
105,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
106,2.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,41401.0,1.0,0.0,2.0,1.0
107,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
108,2.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
109,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,0.0
110,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41327.0,1.0,0.0,3.0,1.0
111,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,41324.0,1.0,0.0,1.0,0.0
112,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,3.0,1.0
113,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,41401.0,1.0,0.0,3.0,0.0
114,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,0.0
115,2.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,0.0
116,1.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
117,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,0.0
118,2.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,1.0,1.0,0.0
119,2.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
120,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,41326.0,1.0,0.0,2.0,1.0
121,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
122,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,41332.0,1.0,0.0,3.0,1.0
123,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,2.0,1.0
124,1.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,1.0
125,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,0.0,0.0,2.0,1.0
126,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
127,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,41401.0,1.0,0.0,3.0,1.0
128,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
129,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,41332.0,1.0,0.0,1.0,0.0
130,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41335.0,1.0,0.0,3.0,0.0
131,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,1.0
132,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41332.0,1.0,0.0,2.0,1.0
133,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,2.0,1.0
134,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41332.0,1.0,0.0,1.0,0.0
135,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,0.0
136,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,1.0
137,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
138,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
139,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
140,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
141,2.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,41401.0,1.0,0.0,3.0,1.0
142,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,3.0,1.0
143,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
144,2.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,3.0,1.0
145,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,1.0,1.0
146,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
147,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
148,2.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,2.0,1.0
149,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
150,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,41332.0,1.0,0.0,1.0,1.0
151,2.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
152,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
153,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41401.0,0.0,0.0,3.0,1.0
154,1.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,0.0
155,1.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
156,1.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,41326.0,0.0,0.0,3.0,0.0
157,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,41327.0,1.0,0.0,2.0,0.0
158,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41330.0,1.0,0.0,2.0,1.0
159,2.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,3.0,1.0
160,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
161,1.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,41401.0,1.0,0.0,2.0,1.0
162,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
163,1.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,41326.0,1.0,0.0,3.0,1.0
164,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,0.0
165,2.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,41326.0,1.0,1.0,3.0,0.0
166,1.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,41327.0,1.0,0.0,2.0,0.0
167,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
168,1.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,41401.0,1.0,0.0,3.0,1.0
169,2.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
170,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
171,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,2.0,1.0
172,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,0.0
173,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,41401.0,1.0,0.0,3.0,0.0
174,1.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,41401.0,1.0,0.0,2.0,1.0
175,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,3.0,1.0
176,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
177,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,2.0,1.0
178,1.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
179,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,0.0
180,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
181,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,0.0
182,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,41325.0,1.0,0.0,1.0,0.0
