,State,AgeGroup,DescriptionPartial,MaturitySize,FurLength,Gender,Adoption
34,41327.0,1.0,1.0,1.0,1.0,2.0,0.0
35,41326.0,2.0,1.0,2.0,3.0,2.0,1.0
36,41326.0,3.0,1.0,2.0,2.0,2.0,0.0
37,41326.0,0.0,2.0,1.0,2.0,2.0,1.0
38,41336.0,2.0,2.0,2.0,1.0,1.0,1.0
39,41326.0,2.0,1.0,2.0,2.0,1.0,1.0
40,41326.0,0.0,3.0,2.0,2.0,2.0,1.0
41,41326.0,0.0,1.0,1.0,1.0,3.0,1.0
42,41326.0,3.0,1.0,2.0,3.0,2.0,1.0
43,41401.0,2.0,2.0,2.0,1.0,1.0,1.0
44,41336.0,2.0,2.0,2.0,2.0,1.0,0.0
45,41326.0,2.0,2.0,2.0,1.0,1.0,0.0
46,41326.0,2.0,3.0,1.0,3.0,1.0,1.0
47,41326.0,3.0,2.0,2.0,1.0,2.0,0.0
48,41326.0,0.0,1.0,2.0,1.0,3.0,1.0
49,41326.0,3.0,3.0,3.0,3.0,1.0,1.0
50,41326.0,0.0,2.0,2.0,2.0,2.0,1.0
51,41401.0,2.0,1.0,2.0,1.0,1.0,0.0
52,41326.0,0.0,2.0,2.0,1.0,1.0,1.0
53,41326.0,2.0,3.0,2.0,2.0,2.0,0.0
54,41326.0,1.0,2.0,1.0,1.0,2.0,1.0
55,41401.0,1.0,2.0,1.0,2.0,3.0,1.0
56,41326.0,2.0,3.0,2.0,1.0,1.0,0.0
57,41326.0,3.0,2.0,2.0,2.0,2.0,1.0
58,41326.0,2.0,1.0,3.0,2.0,1.0,1.0
59,41401.0,0.0,1.0,1.0,1.0,3.0,0.0
60,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
61,41327.0,2.0,2.0,2.0,1.0,1.0,0.0
62,41326.0,3.0,3.0,2.0,1.0,2.0,0.0
63,41327.0,0.0,1.0,2.0,2.0,1.0,1.0
64,41326.0,0.0,3.0,2.0,3.0,3.0,1.0
65,41326.0,3.0,1.0,2.0,2.0,2.0,1.0
66,41324.0,1.0,1.0,2.0,1.0,2.0,0.0
67,41401.0,2.0,2.0,1.0,1.0,1.0,1.0
68,41401.0,2.0,2.0,2.0,1.0,2.0,1.0
69,41401.0,3.0,2.0,2.0,2.0,1.0,0.0
70,41326.0,3.0,2.0,2.0,1.0,2.0,0.0
71,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
72,41401.0,0.0,2.0,1.0,1.0,1.0,1.0
73,41326.0,0.0,2.0,1.0,1.0,1.0,0.0
74,41335.0,0.0,3.0,2.0,2.0,3.0,1.0
75,41336.0,0.0,2.0,2.0,1.0,2.0,1.0
76,41326.0,0.0,3.0,3.0,1.0,2.0,0.0
77,41326.0,2.0,1.0,2.0,1.0,2.0,1.0
78,41326.0,0.0,1.0,2.0,2.0,1.0,1.0
79,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
80,41327.0,0.0,2.0,2.0,1.0,2.0,0.0
81,41326.0,1.0,2.0,1.0,3.0,1.0,1.0
82,41325.0,1.0,2.0,2.0,2.0,1.0,1.0
83,41326.0,1.0,1.0,2.0,2.0,1.0,1.0
84,41326.0,2.0,1.0,2.0,2.0,2.0,1.0
85,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
86,41326.0,3.0,2.0,2.0,3.0,2.0,0.0
87,41326.0,0.0,2.0,3.0,2.0,1.0,1.0
88,41330.0,2.0,3.0,2.0,2.0,2.0,1.0
89,41326.0,0.0,3.0,2.0,1.0,1.0,1.0
90,41330.0,0.0,3.0,2.0,1.0,1.0,1.0
91,41326.0,0.0,3.0,1.0,2.0,3.0,0.0
92,41326.0,0.0,2.0,2.0,1.0,3.0,0.0
93,41324.0,3.0,3.0,3.0,1.0,1.0,1.0
94,41326.0,3.0,1.0,2.0,1.0,2.0,0.0
95,41327.0,0.0,2.0,2.0,1.0,1.0,1.0
96,41401.0,3.0,0.0,3.0,3.0,2.0,1.0
97,41401.0,2.0,2.0,1.0,3.0,2.0,1.0
98,41336.0,3.0,1.0,2.0,1.0,1.0,1.0
99,41326.0,1.0,1.0,2.0,2.0,1.0,1.0
100,41401.0,0.0,2.0,1.0,2.0,3.0,1.0
101,41326.0,3.0,3.0,2.0,2.0,2.0,1.0
102,41401.0,3.0,2.0,2.0,2.0,1.0,0.0
103,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
104,41326.0,1.0,3.0,1.0,1.0,2.0,1.0
105,41401.0,0.0,1.0,1.0,2.0,1.0,1.0
106,41401.0,0.0,2.0,2.0,1.0,3.0,1.0
107,41401.0,0.0,1.0,2.0,1.0,2.0,1.0
108,41401.0,0.0,1.0,2.0,1.0,2.0,1.0
109,41401.0,1.0,2.0,2.0,1.0,2.0,0.0
110,41327.0,0.0,3.0,3.0,1.0,2.0,1.0
111,41324.0,2.0,1.0,2.0,2.0,2.0,0.0
112,41401.0,2.0,3.0,2.0,1.0,2.0,1.0
113,41401.0,3.0,3.0,3.0,1.0,1.0,0.0
114,41326.0,1.0,2.0,2.0,1.0,2.0,0.0
115,41326.0,0.0,3.0,1.0,2.0,3.0,0.0
116,41326.0,3.0,3.0,3.0,2.0,2.0,1.0
117,41326.0,1.0,1.0,1.0,1.0,2.0,0.0
118,41326.0,3.0,1.0,2.0,2.0,1.0,0.0
119,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
120,41326.0,1.0,2.0,2.0,2.0,3.0,1.0
121,41326.0,3.0,3.0,3.0,1.0,1.0,1.0
122,41332.0,2.0,3.0,2.0,2.0,1.0,1.0
123,41401.0,0.0,2.0,1.0,1.0,3.0,1.0
124,41326.0,0.0,3.0,3.0,1.0,3.0,1.0
125,41326.0,0.0,2.0,1.0,2.0,1.0,1.0
126,41401.0,2.0,1.0,2.0,1.0,1.0,1.0
127,41401.0,3.0,3.0,2.0,2.0,2.0,1.0
128,41326.0,1.0,2.0,2.0,2.0,1.0,1.0
129,41332.0,1.0,1.0,1.0,1.0,2.0,0.0
130,41335.0,2.0,3.0,2.0,1.0,2.0,0.0
131,41326.0,1.0,2.0,2.0,2.0,3.0,1.0
132,41332.0,0.0,2.0,1.0,2.0,2.0,1.0
133,41326.0,2.0,2.0,2.0,1.0,1.0,1.0
134,41332.0,0.0,1.0,2.0,1.0,3.0,0.0
135,41326.0,3.0,3.0,2.0,1.0,3.0,0.0
136,41326.0,1.0,2.0,3.0,1.0,3.0,1.0
137,41326.0,2.0,2.0,2.0,2.0,1.0,1.0
138,41326.0,2.0,2.0,2.0,2.0,2.0,1.0
139,41326.0,0.0,2.0,2.0,1.0,1.0,1.0
140,41326.0,2.0,1.0,2.0,1.0,2.0,1.0
141,41401.0,2.0,3.0,2.0,3.0,1.0,1.0
142,41401.0,0.0,3.0,2.0,2.0,2.0,1.0
143,41401.0,3.0,1.0,2.0,1.0,2.0,1.0
144,41401.0,2.0,3.0,2.0,2.0,3.0,1.0
145,41326.0,3.0,1.0,2.0,1.0,1.0,1.0
146,41326.0,2.0,3.0,2.0,1.0,2.0,1.0
147,41326.0,3.0,3.0,1.0,1.0,2.0,1.0
148,41401.0,0.0,2.0,2.0,1.0,3.0,1.0
149,41326.0,3.0,1.0,2.0,2.0,1.0,1.0
150,41332.0,2.0,1.0,2.0,1.0,2.0,1.0
151,41326.0,2.0,2.0,2.0,2.0,2.0,1.0
152,41326.0,2.0,2.0,3.0,3.0,1.0,1.0
153,41401.0,1.0,3.0,2.0,1.0,2.0,1.0
154,41326.0,0.0,2.0,2.0,2.0,3.0,0.0
155,41401.0,3.0,2.0,3.0,2.0,2.0,1.0
156,41326.0,2.0,3.0,2.0,1.0,2.0,0.0
157,41327.0,0.0,2.0,2.0,2.0,2.0,0.0
158,41330.0,3.0,2.0,2.0,1.0,1.0,1.0
159,41401.0,0.0,3.0,2.0,2.0,3.0,1.0
160,41401.0,0.0,2.0,1.0,1.0,2.0,1.0
161,41401.0,0.0,2.0,2.0,2.0,2.0,1.0
162,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
163,41326.0,0.0,3.0,2.0,1.0,3.0,1.0
164,41326.0,0.0,2.0,2.0,2.0,3.0,0.0
165,41326.0,3.0,3.0,2.0,2.0,3.0,0.0
166,41327.0,1.0,2.0,2.0,1.0,3.0,0.0
167,41326.0,0.0,2.0,2.0,2.0,2.0,1.0
168,41401.0,0.0,3.0,3.0,1.0,2.0,1.0
169,41326.0,0.0,1.0,2.0,1.0,2.0,1.0
170,41401.0,0.0,2.0,1.0,1.0,1.0,1.0
171,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
172,41401.0,1.0,2.0,2.0,1.0,1.0,0.0
173,41401.0,3.0,3.0,2.0,2.0,1.0,0.0
174,41401.0,0.0,2.0,2.0,1.0,3.0,1.0
175,41326.0,3.0,3.0,3.0,1.0,1.0,1.0
176,41326.0,0.0,2.0,2.0,1.0,1.0,1.0
177,41326.0,2.0,2.0,2.0,2.0,2.0,1.0
178,41326.0,2.0,2.0,2.0,1.0,1.0,1.0
179,41326.0,2.0,3.0,1.0,1.0,2.0,0.0
180,41326.0,1.0,1.0,2.0,1.0,1.0,1.0
181,41326.0,3.0,3.0,2.0,1.0,1.0,0.0
182,41325.0,2.0,1.0,2.0,1.0,2.0,0.0
183,41327.0,2.0,2.0,2.0,2.0,2.0,0.0
184,41401.0,2.0,1.0,2.0,1.0,1.0,0.0
185,41401.0,3.0,1.0,2.0,1.0,1.0,1.0
186,41326.0,3.0,3.0,2.0,2.0,1.0,0.0
187,41326.0,0.0,1.0,2.0,2.0,1.0,1.0
188,41336.0,2.0,1.0,2.0,1.0,2.0,0.0
189,41326.0,2.0,3.0,2.0,2.0,2.0,1.0
190,41326.0,2.0,2.0,1.0,1.0,1.0,0.0
191,41401.0,0.0,1.0,2.0,1.0,1.0,1.0
192,41326.0,1.0,2.0,1.0,1.0,2.0,0.0
193,41326.0,3.0,3.0,2.0,1.0,2.0,0.0
194,41326.0,0.0,2.0,2.0,3.0,2.0,1.0
195,41332.0,0.0,1.0,2.0,1.0,2.0,1.0
196,41326.0,1.0,3.0,3.0,1.0,1.0,1.0
197,41401.0,2.0,3.0,1.0,1.0,1.0,0.0
198,41401.0,3.0,2.0,1.0,1.0,2.0,1.0
199,41326.0,0.0,3.0,2.0,1.0,1.0,1.0
200,41327.0,0.0,2.0,1.0,2.0,1.0,0.0
201,41326.0,2.0,2.0,2.0,1.0,1.0,1.0
202,41326.0,3.0,3.0,2.0,1.0,2.0,0.0
203,41326.0,1.0,2.0,2.0,1.0,1.0,1.0
204,41326.0,2.0,1.0,2.0,1.0,1.0,0.0
205,41401.0,1.0,3.0,1.0,1.0,1.0,1.0
206,41326.0,0.0,2.0,2.0,2.0,2.0,0.0
207,41401.0,2.0,2.0,2.0,1.0,2.0,1.0
208,41326.0,0.0,3.0,2.0,1.0,2.0,1.0
209,41326.0,0.0,3.0,2.0,1.0,1.0,1.0
210,41401.0,2.0,1.0,3.0,1.0,2.0,1.0
211,41326.0,3.0,3.0,2.0,2.0,1.0,1.0
212,41326.0,0.0,3.0,2.0,1.0,2.0,0.0
213,41401.0,2.0,3.0,2.0,1.0,2.0,0.0
214,41326.0,0.0,3.0,1.0,1.0,2.0,1.0
215,41326.0,0.0,2.0,2.0,1.0,3.0,1.0
216,41326.0,0.0,2.0,3.0,1.0,3.0,1.0
217,41326.0,2.0,1.0,2.0,1.0,2.0,0.0
218,41326.0,1.0,1.0,3.0,1.0,2.0,1.0
219,41326.0,0.0,2.0,2.0,2.0,2.0,1.0
220,41327.0,0.0,3.0,1.0,1.0,2.0,1.0
221,41326.0,1.0,1.0,2.0,2.0,1.0,1.0
222,41326.0,3.0,3.0,2.0,1.0,2.0,0.0
223,41326.0,2.0,2.0,2.0,1.0,2.0,0.0
224,41326.0,3.0,3.0,2.0,1.0,2.0,0.0
225,41326.0,2.0,2.0,1.0,3.0,2.0,1.0
226,41401.0,1.0,1.0,2.0,1.0,1.0,1.0
227,41326.0,2.0,3.0,2.0,1.0,1.0,1.0
228,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
229,41326.0,2.0,1.0,2.0,1.0,1.0,0.0
230,41326.0,0.0,3.0,2.0,1.0,3.0,1.0
231,41401.0,2.0,2.0,2.0,1.0,1.0,1.0
232,41401.0,2.0,1.0,2.0,2.0,2.0,0.0
233,41326.0,0.0,3.0,2.0,1.0,2.0,0.0
234,41326.0,3.0,2.0,2.0,1.0,2.0,1.0
235,41330.0,1.0,1.0,1.0,1.0,2.0,1.0
236,41326.0,0.0,1.0,2.0,2.0,1.0,1.0
237,41401.0,2.0,1.0,1.0,1.0,1.0,1.0
238,41326.0,3.0,3.0,2.0,1.0,2.0,1.0
239,41326.0,3.0,1.0,1.0,3.0,2.0,1.0
240,41326.0,0.0,2.0,2.0,2.0,3.0,1.0
241,41326.0,1.0,1.0,2.0,1.0,1.0,1.0
242,41326.0,1.0,3.0,2.0,1.0,2.0,1.0
243,41401.0,2.0,2.0,2.0,2.0,2.0,1.0
244,41326.0,3.0,3.0,2.0,2.0,2.0,1.0
245,41327.0,0.0,1.0,1.0,1.0,1.0,1.0
246,41326.0,2.0,2.0,2.0,2.0,2.0,1.0
247,41326.0,0.0,2.0,2.0,2.0,2.0,1.0
248,41401.0,0.0,1.0,2.0,2.0,3.0,1.0
249,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
250,41326.0,3.0,1.0,2.0,1.0,2.0,1.0
251,41326.0,0.0,2.0,2.0,1.0,2.0,0.0
252,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
253,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
254,41326.0,2.0,1.0,2.0,1.0,1.0,1.0
255,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
256,41401.0,2.0,3.0,1.0,1.0,2.0,1.0
257,41336.0,2.0,2.0,2.0,1.0,2.0,1.0
258,41336.0,0.0,2.0,2.0,1.0,2.0,1.0
259,41401.0,3.0,1.0,2.0,1.0,2.0,1.0
260,41336.0,3.0,1.0,3.0,2.0,1.0,1.0
261,41325.0,1.0,2.0,1.0,1.0,1.0,1.0
262,41401.0,0.0,1.0,2.0,1.0,1.0,1.0
263,41332.0,0.0,2.0,3.0,1.0,3.0,0.0
264,41326.0,2.0,2.0,2.0,2.0,1.0,0.0
265,41326.0,2.0,1.0,2.0,1.0,2.0,0.0
266,41326.0,0.0,3.0,2.0,1.0,2.0,1.0
267,41326.0,2.0,3.0,2.0,1.0,1.0,0.0
268,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
269,41326.0,0.0,3.0,1.0,2.0,3.0,1.0
270,41401.0,0.0,1.0,2.0,1.0,2.0,1.0
271,41326.0,1.0,1.0,2.0,1.0,2.0,1.0
272,41327.0,1.0,3.0,2.0,2.0,1.0,1.0
273,41336.0,2.0,3.0,1.0,1.0,2.0,0.0
274,41401.0,1.0,1.0,1.0,1.0,1.0,1.0
275,41326.0,3.0,3.0,2.0,1.0,3.0,1.0
276,41401.0,1.0,1.0,3.0,1.0,1.0,1.0
277,41326.0,3.0,2.0,2.0,1.0,2.0,0.0
278,41326.0,0.0,1.0,2.0,2.0,1.0,1.0
279,41401.0,0.0,2.0,2.0,2.0,2.0,1.0
280,41326.0,0.0,2.0,2.0,2.0,1.0,1.0
281,41401.0,2.0,3.0,2.0,1.0,2.0,1.0
282,41326.0,1.0,2.0,1.0,3.0,1.0,1.0
283,41330.0,0.0,2.0,2.0,1.0,2.0,1.0
284,41326.0,0.0,1.0,2.0,1.0,2.0,1.0
285,41326.0,3.0,3.0,2.0,1.0,1.0,1.0
286,41326.0,0.0,3.0,2.0,1.0,2.0,1.0
287,41326.0,1.0,3.0,2.0,2.0,2.0,1.0
288,41326.0,3.0,3.0,2.0,2.0,2.0,1.0
289,41326.0,0.0,3.0,2.0,3.0,2.0,1.0
290,41326.0,2.0,2.0,2.0,2.0,2.0,0.0
291,41401.0,2.0,2.0,2.0,2.0,2.0,1.0
292,41326.0,2.0,2.0,2.0,2.0,1.0,1.0
293,41326.0,0.0,3.0,2.0,2.0,2.0,1.0
294,41401.0,2.0,1.0,2.0,1.0,2.0,1.0
295,41326.0,3.0,2.0,3.0,2.0,1.0,1.0
296,41401.0,0.0,2.0,2.0,1.0,2.0,1.0
297,41326.0,2.0,1.0,2.0,2.0,1.0,1.0
298,41326.0,0.0,3.0,2.0,1.0,1.0,1.0
299,41330.0,0.0,3.0,2.0,2.0,2.0,0.0
300,41332.0,0.0,1.0,2.0,1.0,2.0,1.0
301,41401.0,3.0,1.0,3.0,3.0,1.0,1.0
302,41326.0,3.0,3.0,2.0,2.0,2.0,0.0
303,41327.0,0.0,1.0,2.0,1.0,2.0,1.0
304,41326.0,2.0,2.0,2.0,2.0,1.0,0.0
305,41326.0,2.0,1.0,2.0,1.0,1.0,0.0
306,41326.0,0.0,2.0,2.0,2.0,2.0,1.0
307,41326.0,0.0,2.0,1.0,1.0,1.0,1.0
308,41336.0,0.0,2.0,2.0,2.0,2.0,1.0
309,41326.0,0.0,1.0,1.0,1.0,2.0,0.0
310,41326.0,2.0,1.0,2.0,1.0,2.0,1.0
311,41327.0,3.0,2.0,2.0,2.0,2.0,0.0
312,41332.0,3.0,3.0,2.0,2.0,2.0,0.0
313,41401.0,3.0,1.0,2.0,2.0,2.0,1.0
314,41401.0,2.0,2.0,2.0,1.0,1.0,0.0
315,41401.0,2.0,1.0,2.0,1.0,2.0,0.0
316,41326.0,0.0,3.0,2.0,1.0,2.0,0.0
317,41401.0,0.0,1.0,1.0,2.0,1.0,0.0
318,41326.0,1.0,2.0,2.0,1.0,1.0,0.0
319,41327.0,1.0,1.0,2.0,1.0,2.0,1.0
320,41326.0,0.0,3.0,2.0,1.0,3.0,0.0
321,41326.0,3.0,3.0,1.0,2.0,2.0,1.0
322,41401.0,0.0,1.0,2.0,1.0,1.0,1.0
323,41326.0,0.0,1.0,2.0,1.0,3.0,0.0
324,41326.0,2.0,2.0,2.0,2.0,1.0,1.0
325,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
326,41327.0,0.0,3.0,3.0,1.0,1.0,1.0
327,41336.0,0.0,3.0,2.0,1.0,3.0,1.0
328,41330.0,0.0,1.0,2.0,2.0,2.0,1.0
329,41327.0,3.0,2.0,3.0,1.0,2.0,0.0
330,41326.0,1.0,1.0,2.0,1.0,2.0,0.0
331,41401.0,0.0,2.0,2.0,1.0,3.0,0.0
332,41326.0,0.0,2.0,2.0,1.0,1.0,1.0
333,41326.0,2.0,1.0,1.0,2.0,1.0,0.0
334,41327.0,2.0,1.0,2.0,2.0,2.0,0.0
335,41326.0,0.0,2.0,2.0,1.0,1.0,1.0
336,41326.0,2.0,3.0,2.0,1.0,2.0,1.0
337,41326.0,3.0,2.0,2.0,2.0,1.0,1.0
338,41326.0,3.0,2.0,2.0,3.0,2.0,1.0
339,41326.0,1.0,1.0,2.0,2.0,2.0,1.0
340,41326.0,0.0,1.0,2.0,1.0,2.0,1.0
341,41326.0,1.0,2.0,2.0,2.0,2.0,1.0
342,41401.0,3.0,1.0,1.0,1.0,1.0,1.0
343,41401.0,1.0,1.0,1.0,1.0,3.0,1.0
344,41326.0,0.0,3.0,2.0,1.0,2.0,1.0
345,41326.0,3.0,2.0,1.0,2.0,1.0,1.0
346,41326.0,1.0,2.0,2.0,3.0,1.0,1.0
347,41326.0,2.0,2.0,1.0,1.0,2.0,1.0
348,41326.0,0.0,2.0,2.0,1.0,3.0,1.0
349,41327.0,0.0,1.0,2.0,1.0,1.0,1.0
350,41325.0,3.0,1.0,2.0,1.0,1.0,1.0
351,41326.0,0.0,2.0,2.0,2.0,2.0,1.0
352,41326.0,2.0,2.0,2.0,2.0,2.0,0.0
353,41327.0,1.0,2.0,3.0,2.0,3.0,1.0
354,41401.0,0.0,1.0,2.0,1.0,2.0,1.0
355,41327.0,1.0,1.0,2.0,1.0,2.0,0.0
356,41330.0,0.0,2.0,2.0,2.0,2.0,1.0
357,41335.0,0.0,2.0,1.0,2.0,2.0,1.0
358,41326.0,3.0,1.0,2.0,1.0,2.0,0.0
359,41326.0,0.0,2.0,1.0,2.0,3.0,0.0
360,41326.0,1.0,1.0,2.0,1.0,1.0,1.0
361,41326.0,2.0,3.0,2.0,2.0,1.0,1.0
362,41326.0,2.0,3.0,3.0,2.0,3.0,1.0
363,41326.0,0.0,3.0,2.0,1.0,1.0,1.0
364,41336.0,3.0,3.0,2.0,1.0,2.0,1.0
365,41401.0,2.0,1.0,2.0,1.0,1.0,0.0
366,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
367,41401.0,3.0,2.0,1.0,2.0,1.0,1.0
368,41336.0,0.0,1.0,2.0,1.0,1.0,1.0
369,41336.0,1.0,2.0,2.0,1.0,2.0,1.0
370,41335.0,0.0,2.0,2.0,1.0,3.0,1.0
371,41326.0,3.0,1.0,2.0,2.0,1.0,0.0
372,41345.0,0.0,1.0,1.0,1.0,1.0,0.0
373,41326.0,2.0,2.0,2.0,2.0,1.0,0.0
374,41401.0,2.0,2.0,1.0,1.0,2.0,1.0
375,41326.0,0.0,1.0,2.0,2.0,1.0,1.0
376,41401.0,0.0,3.0,2.0,1.0,1.0,1.0
377,41401.0,0.0,1.0,1.0,1.0,3.0,1.0
378,41326.0,3.0,1.0,2.0,1.0,1.0,0.0
379,41327.0,0.0,1.0,2.0,1.0,3.0,0.0
380,41401.0,0.0,3.0,1.0,1.0,2.0,1.0
381,41326.0,0.0,2.0,2.0,1.0,1.0,1.0
382,41336.0,3.0,3.0,1.0,3.0,3.0,1.0
383,41326.0,0.0,2.0,1.0,1.0,3.0,1.0
384,41326.0,1.0,1.0,2.0,1.0,2.0,0.0
385,41326.0,2.0,1.0,3.0,2.0,2.0,1.0
386,41326.0,1.0,3.0,2.0,1.0,1.0,0.0
387,41326.0,0.0,1.0,2.0,1.0,2.0,1.0
388,41327.0,1.0,1.0,1.0,1.0,2.0,1.0
389,41326.0,1.0,1.0,2.0,1.0,2.0,1.0
390,41332.0,2.0,2.0,2.0,2.0,1.0,0.0
391,41326.0,0.0,2.0,2.0,1.0,2.0,1.0
392,41326.0,0.0,2.0,1.0,1.0,2.0,1.0
393,41326.0,1.0,2.0,1.0,2.0,2.0,0.0
394,41326.0,3.0,1.0,2.0,3.0,1.0,1.0
395,41326.0,3.0,2.0,2.0,1.0,2.0,1.0
396,41326.0,0.0,3.0,3.0,2.0,3.0,1.0
397,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
398,41326.0,0.0,1.0,1.0,1.0,2.0,0.0
399,41326.0,2.0,2.0,2.0,2.0,2.0,1.0
400,41326.0,2.0,1.0,2.0,1.0,1.0,0.0
401,41326.0,0.0,3.0,1.0,1.0,2.0,0.0
402,41401.0,0.0,2.0,2.0,2.0,2.0,1.0
403,41326.0,2.0,1.0,2.0,2.0,2.0,1.0
404,41326.0,3.0,3.0,2.0,2.0,1.0,0.0
405,41401.0,1.0,2.0,2.0,1.0,1.0,1.0
406,41326.0,2.0,3.0,2.0,2.0,2.0,0.0
407,41401.0,2.0,1.0,1.0,1.0,1.0,0.0
408,41401.0,2.0,2.0,2.0,1.0,1.0,1.0
409,41401.0,0.0,3.0,2.0,1.0,2.0,1.0
410,41326.0,0.0,1.0,2.0,1.0,2.0,1.0
411,41401.0,3.0,1.0,2.0,1.0,2.0,1.0
412,41326.0,0.0,2.0,1.0,1.0,2.0,0.0
413,41401.0,3.0,2.0,2.0,2.0,2.0,0.0
414,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
415,41326.0,2.0,1.0,2.0,2.0,3.0,0.0
416,41326.0,0.0,1.0,1.0,1.0,1.0,1.0
417,41401.0,0.0,3.0,3.0,1.0,2.0,1.0
418,41401.0,3.0,2.0,2.0,1.0,1.0,0.0
419,41326.0,2.0,3.0,3.0,2.0,1.0,1.0
420,41326.0,2.0,3.0,2.0,1.0,1.0,0.0
421,41330.0,0.0,2.0,2.0,1.0,1.0,1.0
422,41401.0,2.0,2.0,2.0,1.0,2.0,1.0
423,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
424,41327.0,0.0,1.0,2.0,2.0,1.0,1.0
425,41326.0,0.0,3.0,2.0,1.0,1.0,1.0
426,41330.0,2.0,3.0,2.0,1.0,1.0,1.0
427,41401.0,0.0,1.0,2.0,2.0,3.0,0.0
428,41326.0,1.0,2.0,1.0,1.0,1.0,0.0
429,41401.0,1.0,3.0,2.0,1.0,1.0,1.0
430,41326.0,1.0,3.0,2.0,3.0,1.0,1.0
431,41336.0,2.0,2.0,2.0,2.0,3.0,1.0
432,41326.0,2.0,2.0,1.0,1.0,2.0,1.0
433,41326.0,0.0,2.0,2.0,2.0,3.0,1.0
434,41330.0,3.0,3.0,3.0,3.0,2.0,1.0
435,41326.0,0.0,2.0,1.0,2.0,3.0,1.0
436,41326.0,0.0,1.0,2.0,1.0,3.0,1.0
437,41326.0,1.0,3.0,1.0,1.0,2.0,0.0
438,41326.0,2.0,2.0,2.0,2.0,3.0,0.0
439,41326.0,0.0,2.0,2.0,2.0,2.0,1.0
440,41326.0,0.0,1.0,2.0,1.0,1.0,1.0
441,41326.0,2.0,3.0,2.0,2.0,2.0,0.0
442,41326.0,1.0,1.0,2.0,1.0,1.0,1.0
443,41401.0,2.0,1.0,2.0,1.0,1.0,1.0
444,41401.0,1.0,3.0,1.0,1.0,2.0,0.0
445,41326.0,2.0,2.0,2.0,1.0,1.0,1.0
446,41401.0,2.0,3.0,2.0,1.0,1.0,1.0
447,41326.0,3.0,2.0,2.0,2.0,1.0,1.0
448,41326.0,0.0,3.0,2.0,3.0,2.0,1.0
